feature,acc_drop
Drug_Type_Fentanyl,0.11264209438511885
Drug_Type_Methamphetamine,0.06588012400964521
Drug_Type_Cocaine,0.031605235962797074
State_MA,0.003789183603169155
Drug_Type_Other,0.0014640027557698554
State_NY,0.0009472959007922332
State_NJ,0.00017223561832591106
State_CA,0.00017223561832591106
State_OTHER,0.0
State_DC,0.0
State_DE,0.0
State_ID,0.0
State_RI,-0.00025835342748881107
State_CT,-0.0003444712366517111
State_UT,-0.0005167068549776221
State_AK,-0.0006889424733034222
State_ME,-0.0006889424733034222
State_OH,-0.0007750602824664332
Drug_Type_Heroin,-0.0009472959007922332
State_VA,-0.0010334137099552443
State_MN,-0.0010334137099552443
State_KS,-0.0010334137099552443
State_OR,-0.0015501205649328664
State_IA,-0.0017223561832586665
State_MD,-0.0018084739924216775
State_NH,-0.0018945918015845775
State_HI,-0.0019807096107474775
State_SC,-0.0021529452290733886
State_ND_NE_SD_WY,-0.0022390630382362886
State_NV,-0.0022390630382362886
State_MO,-0.0024974164657250997
State_CO,-0.0027557698932139107
State_AR,-0.0028418877023768108
Price_Up-To-$100,-0.002928005511539822
State_WI,-0.002928005511539822
Price_$100-To-$1000,-0.003186358939028633
State_FL,-0.004133654839820866
State_PA,-0.004478126076472577
State_MI,-0.004650361694798488
State_NM,-0.004822597313124399
State_AZ,-0.004908715122287299
State_MT,-0.00508095074061321
month_sin,-0.0055976575955907215
State_KY,-0.005942128832242544
State_MS,-0.006114364450568344
State_LA,-0.006200482259731355
State_WA,-0.006631071305545966
Price_nan,-0.007233895969686488
Net_Weight_Up-To-10g,-0.008784016534619354
State_IL,-0.009042369962108165
Price_Over-$1000,-0.009386841198759877
month_cos,-0.009731312435411588
State_TN,-0.01042025490871512
State_AL,-0.010936961763692743
State_OK,-0.011453668618670365
is_neighbor_of_border,-0.011539786427833265
State_GA,-0.013520496038580743
State_WV,-0.013864967275232565
Net_Weight_Over-1000g,-0.014381674130210076
State_IN,-0.016362383740957664
State_NC,-0.016792972786772276
Net_Weight_10g-To-1000g,-0.019462624870823286
is_border_state,-0.026954874267998585
border_tier,-0.03504994832931452
State_TX,-0.04314502239063034
